,url,comments,cnt
153,/my/paymentlist/cancel/fail,,862
154,/my/sku/detail/cpn,구독중인 SKU 상세,860293
155,/recent-product/list#popup-service-5,,1
156,/search,검색,81559
157,/my/terms/mms/join/membership/check,,420
158,/my#popup-service-2,,790
159,/recent-product/list#popup-service-1,,28
160,/#popup-service-2,,8660
161,/use/detail,이용 상세,871013
162,/product/my-inquiry,상품 문의(my),10183
163,/member/join/terms/agree,,93
164,/my/paymentlist#popup-service-3,,3
165,/product/,,1
166,/etc/notification,알림함,12370
167,/my/detail/payment/register/cancel,,29
168,/my/refund/account#popup-service-2,,1
169,/setting/quit/impossible,탈퇴 불가,1103
170,/my/terms/mms/join/membership/progress,고객센터 유입 회원가입 약관 mms,129
171,/my/google/ytp/auth/callback,,46614
172,/etc/faq,FAQ,6367
173,/setting/notification,알림설정,2027
174,/order/cancel,,143
175,/,발견,1745138
176,/etc/event#popup-service-1,,4
177,/order/complete/wait,sse 결제 완료 대기,91582
178,/my/coupon#popup-service-1,,244
179,/newssp/my/detail/prdbnf,,1
180,/st/EDRDDY,,2
181,/gift/guide,선물 사용 방법,32
182,/#popup-service-6,,20
183,/my/terms#popup-service-5,,1
184,/etc/notice,공지사항 메인,2709
185,/search/result#popup-service-1,,1
186,/category/sub/tab/detail/preview,,4
187,/member/join/auth/check,인증번호 입력 화면,11458
188,/my/detail/payment/register,정기 결제 수단 등록,5942
189,/#popup-service-8,,3
190,/common/not-found,,2911
191,/my/sku/%20detail/cpn,,3
192,/member/token-refresh/fail,,2323193
193,/my#popup-service-1,,19861
194,/my/unsubscribe/complete,해지 완료,85571
195,/category/preview,,1
196,/),,1
197,/etc/inquiry#popup-service-1,,137
198,/setting/view#popup-service-3,,12
199,/my/terms/mms/join/product/progress,고객센터 유입 상품가입 약관 mms,3964
200,/my/terms/product/change,,1518
201,/member/login/success,,1055019
202,/type=cpno,,1
203,/my#popup-service-6,,1
204,/etc/event/detail/preview,,41
205,/use,이용,732788
206,/my/termination/check/cancel,해지 신청 종료,32
207,/bypass/api/ord/v1/cart/createCartPrd,,1
208,/etc/notification#popup-service-1,,6
209,/my/unsubscribe/nowend,즉시종료,32641
210,/setting/member/info#popup-service-1,,2381
211,/my/terms/mms/join/product/check,,4291
212,/#popup-service-3,,378
213,/my/refund/account,환불 계좌 관리,19025
214,/member/login/view#popup-service-6,,2
215,/newssp/my/detail,,2
216,/cart/view#popup-service-1,,1627
217,/my/termination/check/error,해지 신청 오류,37
218,/order/view,결제화면,171406
219,/category/menucard/detail,카테고리 메뉴카드 상세,32962
220,/my/detail,나의구독(상세),1982836
221,/gift/list/recommend#popup-service-1,,4
222,/discover/comctn/preview,,1
223,/native/auth,native app 접근권한 안내 페이지,177979
224,/st/edrddy,,1
225,/my/sku/detail/vou,구독중인 SKU 상세,336501
226,/my/subscribe,구독관리,1824098
227,/my/paymentlist,결제 내역,136971
228,/setting/member/info#popup-service-2,,11
229,/member/login/channel/tid,,6402
230,/my/subscribe#popup-service-6,,3
231,/my/delivery#popup-service-4,,1
232,/my/sku/,,1
233,/#popu%EC%A7%80%E3%85%881p-sevice-1,,1
234,/etc/faq#popup-service-1,,69
235,/my/family#popup-service-4,,1
236,/etc/inquiry/detail,1:1문의 상세,7863
237,/my/detail/payment/register/complete,,19732
238,/my/paymentlist#popup-service-1,,490
239,/category/sub/tab/detail,카테고리 상세,261133
240,/member/join/terms/external,POC 서비스 이용 약관 동의 조회,131921
241,/setting/view#popup-service-1,,739
242,/use/my/sku/detail/cpn,,1
243,/my/subscribe#popup-service-8,,2
